"Source: source_org","Target: target_org","Score","Status Correct"
"https://w3id.org/scholarlydata/person/ryann-lichtenwalter","https://w3id.org/scholarlydata/person/ryan-n-lichtenwalter","54.1","correct"
"https://w3id.org/scholarlydata/person/ryan-n-lichtenwalter","https://w3id.org/scholarlydata/person/ryann-lichtenwalter","54.1","correct"
"https://w3id.org/scholarlydata/person/marco-casanova","https://w3id.org/scholarlydata/person/marco-a.-casanova","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/marco-antonio-casanova","https://w3id.org/scholarlydata/person/marco-a.-casanova","-100.0","incorrect"
"https://w3id.org/scholarlydata/person/bene-rodriguez-castro","https://w3id.org/scholarlydata/person/benedicto-rodriguez","100.0","correct"
"https://w3id.org/scholarlydata/person/daniel-p-miranker","https://w3id.org/scholarlydata/person/daniel-miranker","8.1","correct"
"https://w3id.org/scholarlydata/person/danielm-herzig","https://w3id.org/scholarlydata/person/daniel-herzig","54.1","correct"
"https://w3id.org/scholarlydata/person/juergen-umbrich","https://w3id.org/scholarlydata/person/jurgen-umbrich","54.1","correct"
"https://w3id.org/scholarlydata/person/pernhui-chia","https://w3id.org/scholarlydata/person/pern-hui-chia","54.1","correct"
"https://w3id.org/scholarlydata/person/baris-sertkaya","https://w3id.org/scholarlydata/person/s-sertkaya","100.0","correct"
"https://w3id.org/scholarlydata/person/fabian-suchanek","https://w3id.org/scholarlydata/person/fabianm-suchanek","54.1","correct"
"https://w3id.org/scholarlydata/person/l-venkata-subramaniam","https://w3id.org/scholarlydata/person/l-v-subramaniam","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/eero-hyvoenen","https://w3id.org/scholarlydata/person/eero-hyvonen","54.1","correct"
"https://w3id.org/scholarlydata/person/peter-patel-schneider","https://w3id.org/scholarlydata/person/p-f-patel-schneider","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/lyndon-j-b-nixon","https://w3id.org/scholarlydata/person/lyndon-nixon","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/john-p-mccrae","https://w3id.org/scholarlydata/person/john-mccrae","100.0","correct"
"https://w3id.org/scholarlydata/person/fabian-m-suchanek","https://w3id.org/scholarlydata/person/fabian-suchanek","8.1","correct"
"https://w3id.org/scholarlydata/person/claudiu-s-firan","https://w3id.org/scholarlydata/person/claudiu-firan","47.9","correct"
"https://w3id.org/scholarlydata/person/krysta-svore","https://w3id.org/scholarlydata/person/krysta-m-svore","8.1","correct"
"https://w3id.org/scholarlydata/person/nigel-r-shadbolt","https://w3id.org/scholarlydata/person/nigel-shadbolt","8.1","correct"
"https://w3id.org/scholarlydata/person/alfio-massimiliano-gliozzo","https://w3id.org/scholarlydata/person/alfio-gliozzo","100.0","correct"
"https://w3id.org/scholarlydata/person/grigoris-antoniou","https://w3id.org/scholarlydata/person/gregoris-antoniou","54.1","correct"
"https://w3id.org/scholarlydata/person/oscar-corcho","https://w3id.org/scholarlydata/person/Oscar-corcho","100.0","correct"
"https://w3id.org/scholarlydata/person/alasdair-j-g-gray","https://w3id.org/scholarlydata/person/alasdair-gray","100.0","correct"
"https://w3id.org/scholarlydata/person/luisa-leiva","https://w3id.org/scholarlydata/person/luis-a-leiva","54.1","correct"
"https://w3id.org/scholarlydata/person/marco-casanova","https://w3id.org/scholarlydata/person/marco-antonio-casanova","-100.0","incorrect"
"https://w3id.org/scholarlydata/person/johanna-voelker","https://w3id.org/scholarlydata/person/johanna-volker","54.1","correct"
"https://w3id.org/scholarlydata/person/alasdair-gray","https://w3id.org/scholarlydata/person/alasdair-j-g-gray","100.0","correct"
"https://w3id.org/scholarlydata/person/amparo-e.-cano","https://w3id.org/scholarlydata/person/amparo-e-cano","54.1","correct"
"https://w3id.org/scholarlydata/person/hak-kim","https://w3id.org/scholarlydata/person/haklae-kim","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/krysta-m-svore","https://w3id.org/scholarlydata/person/krysta-svore","100.0","correct"
"https://w3id.org/scholarlydata/person/soeren-auer","https://w3id.org/scholarlydata/person/soren-auer","54.1","correct"
"https://w3id.org/scholarlydata/person/alejandro-vaisman","https://w3id.org/scholarlydata/person/alejandro-a-vaisman","8.1","correct"
"https://w3id.org/scholarlydata/person/nigel-shadbolt","https://w3id.org/scholarlydata/person/nigel-r-shadbolt","8.1","correct"
"https://w3id.org/scholarlydata/person/raphaelm-reischuk","https://w3id.org/scholarlydata/person/raphael-m-reischuk","54.1","correct"
"https://w3id.org/scholarlydata/person/elena-paslaru-bontas-simperl","https://w3id.org/scholarlydata/person/elena-simperl","0.0","correct"
"https://w3id.org/scholarlydata/person/daniel-miranker","https://w3id.org/scholarlydata/person/daniel-p-miranker","8.1","correct"
"https://w3id.org/scholarlydata/person/lorenz-buehmann","https://w3id.org/scholarlydata/person/lorenz-buhmann","54.1","correct"
