"Source: source_org","Target: target_org","Score","Status"
"https://w3id.org/scholarlydata/person/aglio","https://w3id.org/scholarlydata/person/daniele-dellaglio","-100.0","incorrect"
"https://w3id.org/scholarlydata/person/alasdair-gray","https://w3id.org/scholarlydata/person/alasdair-j-g-gray","100.0","correct"
"https://w3id.org/scholarlydata/person/alejandro-vaisman","https://w3id.org/scholarlydata/person/alejandro-a-vaisman","8.1","correct"
"https://w3id.org/scholarlydata/person/alfio-gliozzo","https://w3id.org/scholarlydata/person/alfio-massimiliano-gliozzo","0.0","correct"
"https://w3id.org/scholarlydata/person/alfio-massimiliano-gliozzo","https://w3id.org/scholarlydata/person/alfio-gliozzo","100.0","correct"
"https://w3id.org/scholarlydata/person/amparo-e.-cano","https://w3id.org/scholarlydata/person/amparo-e-cano","54.1","correct"
"https://w3id.org/scholarlydata/person/andrea-giovanni-nuzzolese","https://w3id.org/scholarlydata/person/andrea-nuzzolese","100.0","correct"
"https://w3id.org/scholarlydata/person/claudiu-firan","https://w3id.org/scholarlydata/person/claudiu-s-firan","8.1","correct"
"https://w3id.org/scholarlydata/person/daniel-herzig","https://w3id.org/scholarlydata/person/danielm-herzig","54.1","correct"
"https://w3id.org/scholarlydata/person/daniel-miranker","https://w3id.org/scholarlydata/person/daniel-p-miranker","8.1","correct"
"https://w3id.org/scholarlydata/person/danielm-herzig","https://w3id.org/scholarlydata/person/daniel-herzig","54.1","correct"
"https://w3id.org/scholarlydata/person/fabian-m-suchanek","https://w3id.org/scholarlydata/person/fabian-suchanek","8.1","correct"
"https://w3id.org/scholarlydata/person/fabian-m-suchanek","https://w3id.org/scholarlydata/person/fabianm-suchanek","54.1","correct"
"https://w3id.org/scholarlydata/person/fabian-suchanek","https://w3id.org/scholarlydata/person/fabian-m-suchanek","100.0","correct"
"https://w3id.org/scholarlydata/person/fabianm-suchanek","https://w3id.org/scholarlydata/person/fabian-m-suchanek","54.1","correct"
"https://w3id.org/scholarlydata/person/hak-kim","https://w3id.org/scholarlydata/person/haklae-kim","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/haklae-kim","https://w3id.org/scholarlydata/person/hak-kim","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/isabel-cruz","https://w3id.org/scholarlydata/person/isabel-f-cruz","8.1","correct"
"https://w3id.org/scholarlydata/person/isabel-f-cruz","https://w3id.org/scholarlydata/person/isabel-cruz","8.1","correct"
"https://w3id.org/scholarlydata/person/johanna-voelker","https://w3id.org/scholarlydata/person/johanna-volker","54.1","correct"
"https://w3id.org/scholarlydata/person/juan-f-sequeda","https://w3id.org/scholarlydata/person/juanf-sequeda","54.1","correct"
"https://w3id.org/scholarlydata/person/juergen-umbrich","https://w3id.org/scholarlydata/person/jurgen-umbrich","54.1","correct"
"https://w3id.org/scholarlydata/person/krysta-m-svore","https://w3id.org/scholarlydata/person/krysta-svore","100.0","correct"
"https://w3id.org/scholarlydata/person/l-v-subramaniam","https://w3id.org/scholarlydata/person/l-venkata-subramaniam","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/l-venkata-subramaniam","https://w3id.org/scholarlydata/person/l-v-subramaniam","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/lorenz-buhmann","https://w3id.org/scholarlydata/person/lorenz-buehmann","54.1","correct"
"https://w3id.org/scholarlydata/person/lyndon-j-b-nixon","https://w3id.org/scholarlydata/person/lyndon-nixon","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/marco-a.-casanova","https://w3id.org/scholarlydata/person/marco-casanova","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/marco-antonio-casanova","https://w3id.org/scholarlydata/person/marco-a.-casanova","-100.0","incorrect"
"https://w3id.org/scholarlydata/person/marco-casanova","https://w3id.org/scholarlydata/person/marco-a.-casanova","-37.8","incorrect"
"https://w3id.org/scholarlydata/person/marco-casanova","https://w3id.org/scholarlydata/person/marco-antonio-casanova","-100.0","incorrect"
"https://w3id.org/scholarlydata/person/pernhui-chia","https://w3id.org/scholarlydata/person/pern-hui-chia","54.1","correct"
"https://w3id.org/scholarlydata/person/ryen-w-white","https://w3id.org/scholarlydata/person/ryen-white","100.0","correct"
"https://w3id.org/scholarlydata/person/s-sertkaya","https://w3id.org/scholarlydata/person/baris-sertkaya","-56.4","incorrect"
"https://w3id.org/scholarlydata/person/willem-van-hage","https://w3id.org/scholarlydata/person/willem-robert-van-hage","0.0","correct"
