INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
1,https://w3id.org/scholarlydata/organisation/cwi,https://w3id.org/scholarlydata/organisation/cwi-amsterdam,0.1666666667,0.4082482905,1,1,1,1,0.2666666667,0.5163977795,0.8,0.894427191,1,1,0.2142857143,0.4629100499,1,1,1,1,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
2,https://w3id.org/scholarlydata/organisation/cnr-istc,https://w3id.org/scholarlydata/organisation/cnr-istc-italy,0.09090909091,0.3015113446,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
3,https://w3id.org/scholarlydata/organisation/istc-cnr,https://w3id.org/scholarlydata/organisation/cnr-istc-italy,0.09090909091,0.3015113446,1,1,1,1,0.2941176471,0.5423261445,0.8333333333,0.9128709292,1,1,0.2222222222,0.4714045208,0.6666666667,0.8164965809,1,1,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
4,https://w3id.org/scholarlydata/organisation/fluid-operations-ag,https://w3id.org/scholarlydata/organisation/fluid-operations,0.5,0.7071067812,1,1,1,1,0.1538461538,0.3922322703,1,1,1,1,0.1818181818,0.4264014327,1,1,1,1,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
5,https://w3id.org/scholarlydata/organisation/university-of-freiburg,https://w3id.org/scholarlydata/organisation/freiburg-university,0.25,0.5,1,1,1,1,0.08333333333,0.2886751346,0.2,0.4472135955,1,1,0.08333333333,0.2886751346,0.2,0.4472135955,1,1,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
6,https://w3id.org/scholarlydata/organisation/deri-national-university-of-ireland-galway,https://w3id.org/scholarlydata/organisation/deri-nui-galway,0.03448275862,0.1856953382,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
7,https://w3id.org/scholarlydata/organisation/karlsruhe-institute-of-technology-kit,https://w3id.org/scholarlydata/organisation/karlsruhe-institute-of-technology,0.1666666667,0.4082482905,1,1,1,1,0.03703703704,0.1924500897,0.5,0.7071067812,1,1,0.02127659574,0.1458649915,0.25,0.5,1,1,0.04,0.2,0.5,0.7071067812,1,1,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
8,https://w3id.org/scholarlydata/organisation/free-university-of-berlin,https://w3id.org/scholarlydata/organisation/freie-universitaet-berlin,0.1428571429,0.377964473,1,1,1,1,0.2857142857,0.5345224838,0.8,0.894427191,1,1,0.2857142857,0.5345224838,0.8571428571,0.9258200998,1,1,0,0,0,0,0,0,1
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
9,https://w3id.org/scholarlydata/organisation/national-university-of-ireland-galway,https://w3id.org/scholarlydata/organisation/deri-nui-galway,0.03448275862,0.1856953382,1,1,1,1,0.03370786517,0.1835970184,0.4285714286,0.6546536707,1,1,0.02409638554,0.1552301051,0.4,0.632455532,1,1,0,0,0,0,0,0,0
INDEX,URI_1,URI_2,org_name_0|null,org_name_0|sqrt,org_name_1|null,org_name_1|sqrt,org_name_2|null,org_name_2|sqrt,org_member_name_0|null,org_member_name_0|sqrt,org_member_name_1|null,org_member_name_1|sqrt,org_member_name_2|null,org_member_name_2|sqrt,org_member_uri_0|null,org_member_uri_0|sqrt,org_member_uri_1|null,org_member_uri_1|sqrt,org_member_uri_2|null,org_member_uri_2|sqrt,org_participated_event_uri_0|null,org_participated_event_uri_0|sqrt,org_participated_event_uri_1|null,org_participated_event_uri_1|sqrt,org_participated_event_uri_2|null,org_participated_event_uri_2|sqrt,TRUTH
