"Source: source_org","Target: target_org","Score","Status Correct"
"https://w3id.org/scholarlydata/organisation/institute-aifb","https://w3id.org/scholarlydata/organisation/institut-aifb-universitaet-karlsruhe","1","correct"
"https://w3id.org/scholarlydata/organisation/eurecom","https://w3id.org/scholarlydata/organisation/institute-eurecom","1","correct"
"https://w3id.org/scholarlydata/organisation/irit-univ-toulouse-le-mirail","https://w3id.org/scholarlydata/organisation/irit-universite-toulouse-le-mirail","1","correct"
"https://w3id.org/scholarlydata/organisation/deri-national-university-of-ireland-galway","https://w3id.org/scholarlydata/organisation/deri-nui-galway","1","correct"
"https://w3id.org/scholarlydata/organisation/oxford-university","https://w3id.org/scholarlydata/organisation/university-of-oxford","1","correct"
"https://w3id.org/scholarlydata/organisation/l3s","https://w3id.org/scholarlydata/organisation/l3s-research-center","1","correct"
"https://w3id.org/scholarlydata/organisation/isoco-sa","https://w3id.org/scholarlydata/organisation/isoco-s-a","1","correct"
"https://w3id.org/scholarlydata/organisation/ontology-engineering-group-universidad-politecnica-de-madrid","https://w3id.org/scholarlydata/organisation/ontology-engineering-group---universidad-politecnica-de-madrid","1","correct"
"https://w3id.org/scholarlydata/organisation/centria-universidade-nova-de-lisboa","https://w3id.org/scholarlydata/organisation/nova-lincs-universidade-nova-de-lisboa","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-wuerzburg","https://w3id.org/scholarlydata/organisation/universitaet-wuerzburg","1","correct"
"https://w3id.org/scholarlydata/organisation/cnr-istc","https://w3id.org/scholarlydata/organisation/cnr-istc-italy","1","correct"
"https://w3id.org/scholarlydata/organisation/vienna-university-of-economics-and-business-wu-wien","https://w3id.org/scholarlydata/organisation/vienna-university-of-economics-and-business---wu-wien","1","correct"
"https://w3id.org/scholarlydata/organisation/tu-wien","https://w3id.org/scholarlydata/organisation/vienna-university-of-technology","1","correct"
"https://w3id.org/scholarlydata/organisation/linkoeping-university","https://w3id.org/scholarlydata/organisation/linkoping-university","1","correct"
"https://w3id.org/scholarlydata/organisation/ibm-china-research-laboratory","https://w3id.org/scholarlydata/organisation/ibm-china-research-lab","1","correct"
"https://w3id.org/scholarlydata/organisation/bell-labs-alcatel-lucent","https://w3id.org/scholarlydata/organisation/bell-labs","1","correct"
"https://w3id.org/scholarlydata/organisation/department-of-computer-science-tsinghua-university","https://w3id.org/scholarlydata/organisation/tsinghua-university","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-freiburg","https://w3id.org/scholarlydata/organisation/freiburg-university","1","correct"
"https://w3id.org/scholarlydata/organisation/kmi-the-open-university","https://w3id.org/scholarlydata/organisation/the-open-university---knowledge-media-institute","1","correct"
"https://w3id.org/scholarlydata/organisation/vu-university-amsterdam","https://w3id.org/scholarlydata/organisation/vrije-universiteit-amsterdam-the-netherlands","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-lyon","https://w3id.org/scholarlydata/organisation/universite-de-lyon","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-the-basque-country","https://w3id.org/scholarlydata/organisation/basque-country-university","1","correct"
"https://w3id.org/scholarlydata/organisation/europeana-vu-university-amsterdam","https://w3id.org/scholarlydata/organisation/europeana--vu-university-amsterdam","1","correct"
"https://w3id.org/scholarlydata/organisation/vrije-universiteit","https://w3id.org/scholarlydata/organisation/vrije-universiteit-amsterdam-the-netherlands","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-sheffield","https://w3id.org/scholarlydata/organisation/university-of-sheffield-uk","1","correct"
"https://w3id.org/scholarlydata/organisation/ibm-t-j-watson-research","https://w3id.org/scholarlydata/organisation/ibm-tj-watson-research","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-economics","https://w3id.org/scholarlydata/organisation/university-of-economics-prague","1","correct"
"https://w3id.org/scholarlydata/organisation/university-of-jyvaeskylae","https://w3id.org/scholarlydata/organisation/university-of-jyvaskyla","1","correct"
"https://w3id.org/scholarlydata/organisation/montpellier-2-university","https://w3id.org/scholarlydata/organisation/university-montpellier-2","1","correct"
"https://w3id.org/scholarlydata/organisation/google","https://w3id.org/scholarlydata/organisation/google-inc","1","correct"
"https://w3id.org/scholarlydata/organisation/intelligent-information-laboratory-northwestern-university","https://w3id.org/scholarlydata/organisation/northwestern-university","1","correct"
"https://w3id.org/scholarlydata/organisation/oracle","https://w3id.org/scholarlydata/organisation/oracle-corporation","1","correct"
"https://w3id.org/scholarlydata/organisation/universitat-bremen","https://w3id.org/scholarlydata/organisation/university-of-bremen","1","correct"
"https://w3id.org/scholarlydata/organisation/bristol-university","https://w3id.org/scholarlydata/organisation/university-of-bristol","1","correct"
"https://w3id.org/scholarlydata/organisation/university-pantheon-sorbonne-paris-i","https://w3id.org/scholarlydata/organisation/university-pantheon---sorbonne-paris-i","1","correct"
"https://w3id.org/scholarlydata/organisation/fluid-operations-ag","https://w3id.org/scholarlydata/organisation/fluid-operations","1","correct"
"https://w3id.org/scholarlydata/organisation/german-research-center-for-artificial-intelligence","https://w3id.org/scholarlydata/organisation/german-research-center-for-artificial-intelligence-dfki","1","correct"
"https://w3id.org/scholarlydata/organisation/inria-university-of-grenoble","https://w3id.org/scholarlydata/organisation/universite-de-grenoble-1","1","correct"
"https://w3id.org/scholarlydata/organisation/inria-sophia-antipolis-mediterranee","https://w3id.org/scholarlydata/organisation/inria-sophia-antipolis---mediterranee","1","correct"
